x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-3.495625,-3.495625,-3.495625,-3.495625,-3.495625,-3.495625,-3.495625,-3.495625,-3.495625,-3.495625
-3.486875,-3.486875,-3.486875,-3.486875,-3.486875,-3.486875,-3.486875,-3.486875,-3.486875,-3.486875
-3.478125,-3.478125,-3.478125,-3.478125,-3.478125,-3.478125,-3.478125,-3.478125,-3.478125,-3.478125
-3.469375,-3.469375,-3.469375,-3.469375,-3.469375,-3.469375,-3.469375,-3.469375,-3.469375,-3.469375
-3.460625,-3.460625,-3.460625,-3.460625,-3.460625,-3.460625,-3.460625,-3.460625,-3.460625,-3.460625
-3.451875,-3.451875,-3.451875,-3.451875,-3.451875,-3.451875,-3.451875,-3.451875,-3.451875,-3.451875
-3.443125,-3.443125,-3.443125,-3.443125,-3.443125,-3.443125,-3.443125,-3.443125,-3.443125,-3.443125
-3.434375,-3.434375,-3.434375,-3.434375,-3.434375,-3.434375,-3.434375,-3.434375,-3.434375,-3.434375
-3.425625,-3.425625,-3.425625,-3.425625,-3.425625,-3.425625,-3.425625,-3.425625,-3.425625,-3.425625
-3.416875,-3.416875,-3.416875,-3.416875,-3.416875,-3.416875,-3.416875,-3.416875,-3.416875,-3.416875
-3.408125,-3.408125,-3.408125,-3.408125,-3.408125,-3.408125,-3.408125,-3.408125,-3.408125,-3.408125
-3.399375,-3.399375,-3.399375,-3.399375,-3.399375,-3.399375,-3.399375,-3.399375,-3.399375,-3.399375
-3.390625,-3.390625,-3.390625,-3.390625,-3.390625,-3.390625,-3.390625,-3.390625,-3.390625,-3.390625
-3.381875,-3.381875,-3.381875,-3.381875,-3.381875,-3.381875,-3.381875,-3.381875,-3.381875,-3.381875
-3.373125,-3.373125,-3.373125,-3.373125,-3.373125,-3.373125,-3.373125,-3.373125,-3.373125,-3.373125
-3.364375,-3.364375,-3.364375,-3.364375,-3.364375,-3.364375,-3.364375,-3.364375,-3.364375,-3.364375
-3.355625,-3.355625,-3.355625,-3.355625,-3.355625,-3.355625,-3.355625,-3.355625,-3.355625,-3.355625
-3.346875,-3.346875,-3.346875,-3.346875,-3.346875,-3.346875,-3.346875,-3.346875,-3.346875,-3.346875
-3.338125,-3.338125,-3.338125,-3.338125,-3.338125,-3.338125,-3.338125,-3.338125,-3.338125,-3.338125
-3.329375,-3.329375,-3.329375,-3.329375,-3.329375,-3.329375,-3.329375,-3.329375,-3.329375,-3.329375
-3.320625,-3.320625,-3.320625,-3.320625,-3.320625,-3.320625,-3.320625,-3.320625,-3.320625,-3.320625
-3.311875,-3.311875,-3.311875,-3.311875,-3.311875,-3.311875,-3.311875,-3.311875,-3.311875,-3.311875
-3.303125,-3.303125,-3.303125,-3.303125,-3.303125,-3.303125,-3.303125,-3.303125,-3.303125,-3.303125
-3.294375,-3.294375,-3.294375,-3.294375,-3.294375,-3.294375,-3.294375,-3.294375,-3.294375,-3.294375
-3.285625,-3.285625,-3.285625,-3.285625,-3.285625,-3.285625,-3.285625,-3.285625,-3.285625,-3.285625
-3.276875,-3.276875,-3.276875,-3.276875,-3.276875,-3.276875,-3.276875,-3.276875,-3.276875,-3.276875
-3.268125,-3.268125,-3.268125,-3.268125,-3.268125,-3.268125,-3.268125,-3.268125,-3.268125,-3.268125
-3.259375,-3.259375,-3.259375,-3.259375,-3.259375,-3.259375,-3.259375,-3.259375,-3.259375,-3.259375
-3.250625,-3.250625,-3.250625,-3.250625,-3.250625,-3.250625,-3.250625,-3.250625,-3.250625,-3.250625
-3.241875,-3.241875,-3.241875,-3.241875,-3.241875,-3.241875,-3.241875,-3.241875,-3.241875,-3.241875
-3.233125,-3.233125,-3.233125,-3.233125,-3.233125,-3.233125,-3.233125,-3.233125,-3.233125,-3.233125
-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998,-3.2243749999999998
-3.215625,-3.215625,-3.215625,-3.215625,-3.215625,-3.215625,-3.215625,-3.215625,-3.215625,-3.215625
-3.206875,-3.206875,-3.206875,-3.206875,-3.206875,-3.206875,-3.206875,-3.206875,-3.206875,-3.206875
-3.198125,-3.198125,-3.198125,-3.198125,-3.198125,-3.198125,-3.198125,-3.198125,-3.198125,-3.198125
-3.189375,-3.189375,-3.189375,-3.189375,-3.189375,-3.189375,-3.189375,-3.189375,-3.189375,-3.189375
-3.180625,-3.180625,-3.180625,-3.180625,-3.180625,-3.180625,-3.180625,-3.180625,-3.180625,-3.180625
-3.171875,-3.171875,-3.171875,-3.171875,-3.171875,-3.171875,-3.171875,-3.171875,-3.171875,-3.171875
-3.163125,-3.163125,-3.163125,-3.163125,-3.163125,-3.163125,-3.163125,-3.163125,-3.163125,-3.163125
-3.154375,-3.154375,-3.154375,-3.154375,-3.154375,-3.154375,-3.154375,-3.154375,-3.154375,-3.154375
-3.145625,-3.145625,-3.145625,-3.145625,-3.145625,-3.145625,-3.145625,-3.145625,-3.145625,-3.145625
-3.136875,-3.136875,-3.136875,-3.136875,-3.136875,-3.136875,-3.136875,-3.136875,-3.136875,-3.136875
-3.128125,-3.128125,-3.128125,-3.128125,-3.128125,-3.128125,-3.128125,-3.128125,-3.128125,-3.128125
-3.119375,-3.119375,-3.119375,-3.119375,-3.119375,-3.119375,-3.119375,-3.119375,-3.119375,-3.119375
-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998,-3.1106249999999998
-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997,-3.1018749999999997
-3.093125,-3.093125,-3.093125,-3.093125,-3.093125,-3.093125,-3.093125,-3.093125,-3.093125,-3.093125
